"","A1BG.1","A1CF.29974","A2BP1.54715","A2LD1.87769","A2ML1.144568","A2M.2","A4GALT.53947","A4GNT.51146","AAA1.404744","AAAS.8086","AACSL.729522","AACS.65985","AADAC.13","AADAT.51166","AAGAB.79719","AAK1.22848","AAMP.14","AANAT.15","AARS2.57505","AARSD1.80755","AARS.16","AASDHPPT.60496","AASDH.132949","AASS.10157","AATF.26574","AATK.9625","ABAT.18","ABCA10.10349","ABCA11P.79963","ABCA12.26154","ABCA13.154664","ABCA17P.650655","ABCA1.19","ABCA2.20","ABCA3.21","ABCA4.24","ABCA5.23461","ABCA6.23460","ABCA7.10347","ABCA8.10351","ABCA9.10350","ABCB10.23456","ABCB11.8647","ABCB1.5243","ABCB4.5244","ABCB5.340273"
"AACSL.729522",0.720776585540029,-0.295589945477856,-0.142315671037256,-0.201837950598761,-0.08137129631097,-0.131653360165917,0.696650499811273,0.15228489628831,0.635448161177643,0.116895034878941,1,0.186725947687757,0.00980618770137008,0.206036820062235,0.0374113680960526,-0.0800984199146632,-0.176435665709529,-0.0830246226222614,0.261340549180776,-0.290106927356543,0.305568871120305,0.218601711229272,0.0818114246766004,0.0457025569480267,-0.200824571767055,0.165174119704049,-0.121274381249702,-0.0823150968506777,0.118977444960763,-0.0376930307195786,0.229463177660709,0.635103687182154,0.0692295834254073,0.426678683662289,0.509250679300729,0.364743307151137,-0.016928911127057,-0.12330454396566,0.214380550902417,-0.1768550454985,-0.0650543686252178,-0.0837842640939203,0.359720499349955,-0.0304209122637431,-0.204730272208085,-0.142834448460414
"AACS.65985",0.161972795569946,0.116760568025045,-0.284862329769481,-0.1784209192222,0.0276332288825202,0.240058627076527,-0.021250663588265,-0.37594231914645,0.19432968831729,0.834225790337977,0.186725947687757,1,0.0337415612991685,0.26357274109769,0.320011137470754,0.080706385751736,0.458513410458659,0.204786745772489,0.731805631957952,0.507957715817616,0.487119182677148,0.654765970453027,0.600815076218129,-0.345668140169541,0.623733195540662,0.228525035996747,-0.0507109622714335,-0.41350904995589,0.183151532642302,0.159936708725763,0.10328803117105,-0.183205382967566,-0.14739782944276,0.13646755444966,-0.0464829497201051,0.0603911625922506,-0.159721236864959,-0.120419268478563,0.264943938894714,0.152319231987719,-0.168222874950762,0.263467485952599,0.0642708806871484,0.240344019700125,-0.0965425071529744,-0.410041489193281
"AADAC.13",0.114603740108345,0.566354177702608,0.294374418217965,-0.10182098772153,-0.123452169942434,0.06765673696869,0.0593441790679177,-0.134267711816302,0.0893082935299154,0.267924543786601,0.00980618770137008,0.0337415612991685,1,0.107789746196607,-0.00563958324842409,0.490104743903674,0.299710029863045,-0.356238119723499,0.252847478644269,0.240273349232736,0.219297284758704,0.342604157002763,0.175860737866889,-0.120769164896484,0.507028450715512,-0.0734233158932717,0.248805600562218,-0.131424981514099,0.109867784050202,-0.2115719502099,-0.0897752893781538,-0.214239663440898,-0.0726431602451336,-0.178633158369439,-0.208041841274065,0.0908861670036112,-0.170047451792269,0.018106098075002,-0.0656058656200833,-0.0819837020256591,0.0472633812525281,0.13369584369843,-0.271763548344987,0.354550481488315,0.214946271198727,0.167236753074417
"AADAT.51166",0.0660233356014092,-0.0552926766389748,0.0202123144602412,0.0195177538926646,0.657032489462465,0.457720784979524,0.320435081330117,-0.0570347347140976,0.095319968813561,0.280004032028473,0.206036820062235,0.26357274109769,0.107789746196607,1,0.49499862131993,0.197305917623173,-0.0533300017338365,-0.306827238410342,0.421894867577374,-0.118841627533532,0.152758986027798,0.478270506277546,0.610349105979238,-0.375903231481026,0.149419597496123,-0.312656304154069,-0.352782519127256,-0.479086600158378,-0.279177723217721,0.091166483162877,-0.00876901167548464,-0.0890551871708047,-0.0622804590343938,-0.129342148236983,0.730456445262154,0.412755382987257,-0.461223970268777,0.223929235471393,0.0206734456163713,0.414905104404061,-0.109295120761188,0.33205839887067,0.00839410194382389,0.329935572675769,0.000251663053488517,0.410282747274178
"AAGAB.79719",0.0537046411439901,0.439802580638771,0.479257160864997,0.250017087554245,0.218600339887665,0.197175387134448,0.0777975393050743,-0.244752850112511,-0.157741255790078,0.551675509649777,0.0374113680960526,0.320011137470754,-0.00563958324842409,0.49499862131993,1,0.439865492117383,0.312327826420203,-0.0813205535440588,0.540925285032411,-0.0204020923304999,0.375168019968789,0.49610979581867,0.522817037000638,-0.662546392357364,0.230243154198935,-0.199644907021644,0.0245579422098335,-0.383745035161419,-0.239795630948175,0.0971318922208508,0.553122640060121,-0.250429106364694,-0.337210849340536,-0.265898461466751,0.229467544207199,0.0459783907842205,-0.455252798977461,-0.0259697415524866,-0.0938541260843486,0.100796268773902,-0.257453500462261,0.592283117604961,-0.0394402769529,0.120928162398103,0.108961079738515,0.139505571895541
"AAK1.22848",0.00951297899671726,0.552599664693545,0.580205573464079,0.343845200562553,0.188786244173098,0.234314131678966,0.13323313991557,-0.00554914913321048,-0.282365328351122,0.325250267314639,-0.0800984199146632,0.080706385751736,0.490104743903674,0.197305917623173,0.439865492117383,1,0.186871796504245,-0.263733803047725,0.261655726892826,-0.0635908718801923,0.00849674391697143,0.236464965933541,0.336839606080877,-0.0851266626977389,0.424806549567138,0.304570689515006,0.371078047201638,-0.005137539604745,-0.34832815774362,-0.18272363098532,0.32783320164094,-0.200325601642748,0.0899300313546093,-0.0152526260469046,-0.00163657295527803,-0.140543284874841,-0.165806412742005,0.258820101399609,0.361704081703482,0.0820101127071995,0.0706130938851956,0.739019306565685,-0.198864920243148,0.127553045786997,0.175427772930176,0.355215250550948
"AAMP.14",0.270336770516748,0.660982069477376,-0.0514404422590353,-0.318988469536798,0.00898447052821294,0.210583409121062,-0.0697644722141373,-0.423632147497212,-0.0737418777011604,0.612836041851179,-0.176435665709529,0.458513410458659,0.299710029863045,-0.0533300017338365,0.312327826420203,0.186871796504245,1,-0.021419147811413,0.541419423706317,0.430189155252959,0.728769107823455,0.493096503968305,0.23699263976881,-0.19794341835947,0.516738187213489,0.172471172636659,0.582421637681008,-0.257240017524948,0.475148621200346,-0.283146021014262,0.10838757399434,-0.211569817265734,-0.184438272884009,0.110930745428666,-0.184638058961767,-0.427356994374565,-0.14596264316714,-0.102256373406734,0.0892928962167914,0.0196059729763716,-0.079973529372445,0.177746552733166,-0.302835560924859,0.260169962176991,0.328914462822113,-0.275887321885702
"AANAT.15",0.016520026912574,-0.159637782893603,-0.0376213766766435,-0.341114285231443,-0.305961765089009,0.212216020315693,-0.0647846809444875,0.280505364895301,-0.041322733912628,0.0854988507349794,-0.0830246226222614,0.204786745772489,-0.356238119723499,-0.306827238410342,-0.0813205535440588,-0.263733803047725,-0.021419147811413,1,0.180158732212623,0.321945794745003,0.0507094407663802,0.0181560122168464,0.0435523407743847,-0.00805840675414825,0.210679912994509,0.0101969055169436,-0.0709131360885034,0.465538526503674,0.179004118452162,-0.111793612999762,0.141116267014824,-0.0891100462434355,0.121264507553363,-0.048950972105395,-0.270733042816554,-0.295387842162147,0.469476373962889,0.3375443013286,0.0676247344788839,0.3768490396448,0.509332121622251,-0.195357307660047,-0.0547362817811948,-0.0868235691889932,-0.204839293313977,-0.184072416749444
"AARS2.57505",0.354793945348441,0.399154539498343,0.124982486853449,-0.338049916953369,0.075312424516332,0.491765142938194,0.306238317679829,-0.274386196464702,0.140975553056468,0.834509353642665,0.261340549180776,0.731805631957952,0.252847478644269,0.421894867577374,0.540925285032411,0.261655726892826,0.541419423706317,0.180158732212623,1,0.370251640418916,0.698789382791408,0.833266678217829,0.67633161468589,-0.392616089215553,0.553221190456254,-0.0531079610589731,0.068745414809366,-0.263042229823345,0.447861900112586,-0.127153877077911,0.394685163422163,-0.105753917036959,-0.0624535712662534,0.0131878830288734,0.168735373760416,-0.0677465888960139,-0.171341747305025,0.0671337295482916,0.120534185849415,0.359135290651061,-0.0194958269060667,0.293133635543574,-0.0732439493669581,0.521150229528922,0.192561700805988,-0.140552397561187
"AARSD1.80755",-0.129080361392151,0.374950791859629,-0.0724486660689194,-0.260914227278014,-0.0338644350010715,0.160851081392608,-0.274051583189341,-0.446881788739795,0.0890887330853405,0.428535220601052,-0.290106927356543,0.507957715817616,0.240273349232736,-0.118841627533532,-0.0204020923304999,-0.0635908718801923,0.430189155252959,0.321945794745003,0.370251640418916,1,0.23467251299008,0.352335986460288,0.333768873525665,-0.198888189306335,0.685683083250087,-0.209125166633297,-0.0591138521168281,-0.337688929118088,0.26513165666773,0.0749665764954572,0.080646565355468,-0.467070295861046,0.0809548121506187,-0.211915921330145,-0.418885920562017,-0.280769886291516,-0.156279998781564,-0.0912527064266556,-0.0917277232491399,0.0801052203280623,-0.00565464575615013,-0.245536601561088,-0.0319801696622108,-0.0192516463643542,-0.158807051327291,-0.335251144909802
