HUGO symbols,msi.h.1,msi.h.2,msi.h.3,msi.h.4,msi.h.5,msi.h.6,msi.h.7,msi.h.8,msi.h.9,msi.h.10,msi.h.11,msi.h.12,msi.h.13,msi.h.14,msi.h.15,msi.h.16,msi.h.17,msi.h.18,msi.h.19,msi.h.20,msi.h.21,msi.h.22,msi.h.23,msi.h.24,msi.h.25,msi.h.26,msi.h.27,msi.h.28,msi.h.29,msi.h.30,msi.h.31,msi.h.32,msi.h.33,msi.h.34,msi.h.35,msi.h.36,msi.h.37,msi.h.38,msi.h.39,msi.h.40,msi.h.41,msi.h.42,msi.h.43,msi.h.44,msi.h.45,msi.h.46,msi.h.47,msi.h.48,msi.h.49,msi.h.50,msi.h.51,msi.h.52,msi.h.53,msi.h.54,msi.h.55,msi.h.56,msi.h.57,msi.h.58,msi.h.59,msi.h.60,msi.h.61,msi.h.62,msi.h.63,msi.h.64,msi.h.65,msi.h.66,msi.h.67,msi.h.68,msi.h.69,msi.h.70,msi.h.71,msi.h.72,msi.h.73,msi.h.74,msi.h.75,msi.h.76,msi.h.77,msi.h.78,msi.h.79,msi.h.80,msi.h.81,msi.h.82,msi.l.1,msi.l.2,msi.l.3,msi.l.4,msi.l.5,msi.l.6,msi.l.7,msi.l.8,msi.l.9,msi.l.10,msi.l.11,msi.l.12,msi.l.13,msi.l.14,msi.l.15,msi.l.16,msi.l.17,msi.l.18,msi.l.19,msi.l.20,msi.l.21,msi.l.22,msi.l.23,msi.l.24,msi.l.25,msi.l.26,msi.l.27,msi.l.28,msi.l.29,msi.l.30,msi.l.31,msi.l.32,msi.l.33,msi.l.34,msi.l.35,msi.l.36,msi.l.37,msi.l.38,msi.l.39,msi.l.40,msi.l.41,msi.l.42,msi.l.43,msi.l.44,msi.l.45,msi.l.46,msi.l.47,msi.l.48,msi.l.49,msi.l.50,msi.l.51,msi.l.52,msi.l.53,msi.l.54,msi.l.55,msi.l.56,msi.l.57,msi.l.58,msi.l.59,msi.l.60,msi.l.61,msi.l.62,msi.l.63,msi.l.64,msi.l.65,msi.l.66,msi.l.67,msi.l.68,msi.l.69,msi.l.70,msi.l.71,msi.l.72,msi.l.73,msi.l.74,msi.l.75,msi.l.76,msi.l.77,msi.l.78,msi.l.79,msi.l.80,msi.l.81,msi.l.82
KDR,580.1124,228.0255,244.392,203.803,206.1979,200.6552,99.4479,355.7462,293.6233,905.3085,167.1168,246.2871,280.7018,214.8962,186.8132,360.8847,269.7802,115.7556,333.8048,277.5821,144.1419,331.1404,181.1139,291.8979,250,166.8484,287.5696,490.5375,370.2797,273.021,509.6277,352.0761,286.9288,201.7544,336.7717,351.8931,529.8405,266.5639,109.4699,146.4968,135.506,164.9378,115.7194,273.9231,611.1962,342.1053,199.1832,302.6129,298.4464,159.8109,133.7887,206.8035,486.0759,471.1949,376.1043,316.4166,229.0146,516.4826,227.2727,87.3494,229.682,773.4657,496.2321,317.7201,184.8282,336.8125,410.0973,880.3237,344.6808,230.1028,488.4493,1031.2619,328.4755,741.4852,63.7555,248.0181,80.4482,122.0757,314.4717,404.2289,394.6929,89.1327,119.7411,355.6574,367.2249,308.2017,693.5305,1746.5479,700.8531,86.9565,339.9504,414.6608,252.4049,151.2141,180.1483,418.0399,40.7332,272.1352,240.458,296.2644,235.9133,311.4618,293.8942,182.4797,234.9067,217.4463,377.0053,351.3932,132.0542,244.0157,218.0678,341.7431,300,282.6633,597.7723,2378.6232,287.8788,297.6599,59.6817,116.9306,101.6949,213.9049,184.5658,537.2281,600.1307,1208.8836,135.7082,242.209,534.9392,131.9444,148.4803,297.2813,136.7347,214.7931,594.344,482.8947,240.0192,119.1658,489.0792,875.079,361.3734,103.4483,423.838,235.9402,379.349,410.7978,179.2926,129.7461,208.3163,116.7674,398.419,599.5745,467.6564,282.3472,142.539,425.0194,59.5303,139.6574,651.191,458.9911,395.1354,409.7853,252.0458,281.6522
KIR2DL1,2.8218,0,11.8064,0.7216,5.9595,0,0.4691,0.5046,8.8977,2.8694,0,3.7129,4.6617,3.2723,1.0989,0,1.0989,6.2379,2.331,0,5.609,4.386,0,0,1.1312,3.4024,0,3.028,6.3841,17.0436,1.4763,0,4.5484,0,5.5827,18.931,1.8223,5.6703,2.0872,3.9384,1.295,8.2988,0,0,3.3619,3.8986,3.8783,0,1.6353,0,0,9.7192,0,0,0.9971,0,0,0.5143,2.9639,0,0.7067,0,2.137,2.2573,0.4955,0.4691,0.9984,7.7044,1.5762,0,0,8.0213,0,0,0,0,0,0.4254,3.2649,22.1061,23.3435,0.3428,0,1.8548,0,0,1.1091,0,0,0,0,0,0,0,0,1.7346,0,0,0,0,0.6192,0,0,0,0,0,4.4563,3.096,0,0,0,1.9151,0,1.897,0,0,0,0,0,0,0,1.0858,0,0.4085,0.5269,4.2437,0,0,0.5018,0.4085,0,0.5841,0,0,0,0,0,0,0,0,0,0,1.3806,0,0,0,0.9338,0.3236,0,0,0,0,0,0,0,0,0,0,0.4037,1.3195,0,1.1982,0,0
KIR2DL3,7.0217,10.1911,5.9032,4.6416,2.3838,0,0.9382,0,6.4261,8.6083,1.4659,3.7129,11.6291,1.6117,4.3956,0,0,9.8392,1.0636,0.7721,5.3583,2.193,6.3549,0,0,12.9553,1.8553,0,0,10.42,6.2259,0,2.8905,11.6959,4.5882,17.8174,0.9112,5.1156,8.13,24.724,8.9966,8.2988,0,1.4168,0,0,2.9719,0.8746,0,0,0,4.8596,10.1266,0.7112,1.1064,6.7655,2.7372,0.5877,3.8854,1.506,0,0,1.4622,5.6433,1.4866,0.9382,4.6425,7.2019,1.3106,0,3.514,10.6596,0.6989,0.5583,0.8734,0,0,1.2761,3.2449,25.5721,20.2929,0.6856,0,0.4637,1.1962,0.5094,0,0,2.0699,0.4831,0,0,0,1.1038,2.6689,0,2.0367,0,0,0,0,0.8306,1.2453,0,1.0977,2.5284,1.7825,4.644,0,0,0,4.9656,0,3.1281,0,1.8116,0,1.1673,0,1.218,0,0,0,0,1.5807,2.3589,0,0,0,0,0,1.3154,0,0,0,0,0,0,0,0.8426,0,0.6158,0,0,0,0,0.9338,1.2942,0.8153,0.6363,0.3953,1.3091,0,3.4018,0,0.3441,0,0,0,1.2476,0,1.1982,0,0
KIR2DL4,4.5937,14.0127,34.2385,11.214,17.8784,11.466,13.1346,7.5691,28.176,34.4333,3.9092,3.7129,15.0376,12.21,8.7912,8.149,3.2967,22.508,3.3946,12.3541,21.9346,9.8684,38.1292,22.1976,21.4932,21.8103,4.6382,15.14,14.8963,50.0808,21.8228,10.3806,21.254,29.2398,12.4312,48.9978,31.8907,18.49,16.0556,89.172,21.4408,34.2324,4.0963,25.0309,1.3448,13.6452,15.2813,12.6818,8.5854,1.8913,7.5374,45.3564,18.5654,14.5804,22.297,34.3479,2.7372,2.5714,13.076,7.5301,15.5477,6.3177,8.9979,19.1874,20.3162,16.8875,12.9742,92.4191,28.8677,1.2089,13.1776,30.8807,3.4944,4.4668,1.7467,2.265,8.4682,2.9775,9.5143,50.1658,38.9189,27.0826,3.2362,1.8548,10.7656,0,15.5268,2.4942,4.5537,5.7971,1.2407,3.2823,10.0779,2.2075,0,1.7346,0,5.865,0,0,4.9536,2.4917,2.4906,4.5811,2.1954,3.7927,13.369,6.192,1.1287,0,0,4.5872,0,2.5126,3.7129,0,12.1212,9.3383,2.6525,12.1803,1.6949,3.2574,0,16.7501,2.1076,7.2029,1.6964,2.1309,2.5091,13.4804,10.4634,1.8996,0.4082,1.1365,1.8544,0,0.481,6.9513,4.7109,0.4213,0,1.8473,4.6019,1.3181,0,0,0.4669,0.9707,1.6307,4.4543,0,1.3091,13.7858,13.6071,0.5568,0.3441,1.6384,21.0804,0.8074,7.1878,0,2.3964,1.6367,0
KIR3DL1,3.2812,4.5605,9.4451,2.9108,10.7271,0,2.8146,0.5046,16.1987,43.4146,0,3.7129,6.2657,0,5.0989,0,0,3.2154,0,1.4671,7.8338,2.193,2.1183,0,2.2624,3.2715,0,0,0,16.1551,6.4185,0,8.5016,14.6199,3.3903,22.8953,1.3166,9.245,2.9192,15.9236,11.7753,15.5757,0,2.7062,0.8943,1.9834,6.3233,1.7492,1.2265,0,0.4711,6.4795,18.865,0.3556,1.9605,1.5613,0,1.8367,3.736,3.012,0.7067,0,0.4499,11.2867,0.991,0,3.3846,11.0733,1.1316,0.403,9.6636,10.915,0,0.5583,0,0,0,0,6.009,31.5091,22.7695,1.5872,0,1.8548,1.1962,0,2.5878,0,1.6559,0,0,0,1.4567,0,1.3344,0,0,0,0,0,0.6192,0,0,0,1.0977,2.4526,1.7825,4.644,0,0,0,0,0,7.5377,1.2376,0,0,0,0,1.218,0,0,0,1.2256,0.5269,0.6002,0,0,0,0,0.9965,0.4749,0,0,0,0.9868,0,0,0,0,0,0.6158,0.4602,0,0,1.1822,0,1.6178,0.8153,0.3182,0,0,0,0,0,0.3441,0,1.581,0,0,0.4589,0,0,0
KLRC3,7.2186,11.0191,5.2302,25.2121,16.615,0.819,2.3455,1.0092,8.5764,17.9101,4.8865,0,15.0376,2.442,7.5824,3.993,1.0989,9.6463,8.7921,7.3353,1.5668,4.4079,18.0902,8.879,6.3688,86.325,2.7829,8.7711,12.7683,14.5396,13.3376,7.0415,3.4644,0,4.6786,70.8797,0.9385,29.4453,11.8373,35.7113,6.1149,6.2241,5.8628,3.6602,3.3619,1.5936,14.6805,5.2826,1.9869,2.1324,14.5001,8.0076,4.2194,3.9118,7.3202,22.1179,2.281,2.7073,6.8493,1.506,2.1201,6.2319,2.6994,0.5643,5.1038,2.0546,2.2564,16.4523,11.4489,0.403,7.6386,7.5715,2.2784,2.2725,1.8079,0.7814,3.0244,0.4254,1.5023,6.7869,18.8305,7.2506,0,3.7096,19.2464,0.5094,12.3512,13.1007,3.9451,3.8647,4.9628,7.6915,1.8323,3.3113,2.6689,14.3192,0,14.4044,0,5.5194,0,6.9352,2.9638,1.4278,4.3908,3.8685,4.4563,22.5232,0,6.9318,0,11.6743,0,0,5.4703,5.4348,0,0,0,12.7527,0,3.2683,3.9895,3.158,0.5269,1.2005,1.6964,1.2679,4.0146,1.6013,3.0992,1.078,0.4082,1.1365,2.7816,3.3158,1.443,0.993,3.4561,2.9492,1.4721,2.4631,0.9204,0,1.3468,1.5664,4.7951,4.0121,1.3331,1.2727,0,0.6546,5.5302,5.9094,2.2272,0.3992,0.5461,7.3584,1.6149,6.5974,7.1776,1.5976,2.0458,0
KLRC4,5.2499,12.7389,5.9032,7.0551,16.6865,0.819,6.755,0,10.2768,0,0.9773,0,3.7594,0,8.8132,0,0,0,21.5332,1.4169,4.7003,3.6952,0,0,3.0882,9.6838,2.3006,0,3.9369,0,0,0,6.3762,0,0,7.0045,2.2733,16.8721,10.2172,9.7346,10.2916,4.1494,0.512,5.9224,0,0.9747,0,3.6034,3.6795,0,6.4021,0.54,2.7131,0,2.5242,7.1974,8.0201,1.8367,1.868,0,0,8.1227,0,1.0158,4.4151,0,5.7594,45.2129,1.9515,0,9.3341,5.1506,0,0,0.8734,0,1.2097,0,0,8.5365,6.4904,4.059,0,0.4637,0,0.5094,5.9815,2.4942,0,3.8647,0,1.5317,4.5809,0,0.2135,1.0841,0,3.7184,0,0.6169,3.096,0,0,0,3.2931,3.7927,0,9.2879,0,4.9451,1.1244,8.4174,0,0,2.4752,1.8116,9.0909,2.3346,0,0,0,0,0.129,3.6768,0,6.3085,0.4241,1.7757,10.1719,1.4706,4.9826,0.4749,0,0.3788,2.1187,0,0.481,0.993,0.8737,0,0,0.6158,2.6599,0,0,0,0.9338,0.9707,2.0383,0,0,0,3.1813,6.2398,0,0.6883,0,2.4242,1.1223,2.0537,0.8674,0,0,1.0095
KLRD1,44.624,73.8854,76.7414,166.2604,120.3814,14.742,56.7603,14.6335,90.954,119.56,55.217,45.7921,35.0877,18.315,100,91.9674,12.6374,25.7235,171.9943,43.2395,26.6349,33.9912,121.8017,49.9445,72.3982,74.1549,50.0928,104.971,136.1948,263.3279,123.2349,132.3529,60.5739,52.6316,63.286,227.1715,205.0114,66.2558,29.192,93.4183,84.048,121.888,6.1444,71.7867,62.5316,26.3158,145.9623,75.2159,18.8062,27.896,110.2344,58.3153,70.4641,135.8464,49.6424,108.7682,59.7628,8.8162,31.7559,10.5422,20.4947,105.5957,13.9467,54.7404,58.9666,36.1206,99.2808,449.7445,66.3958,20.5521,104.5422,210.4461,30.7509,34.0592,3.4934,13.0238,6.0487,72.3097,24.0361,119.8176,88.4521,33.2533,1.6181,29.2131,52.6316,1.5283,75.7856,82.9314,32.2897,14.9758,11.1663,19.6937,52.6798,1.1038,8.0066,30.3556,6.11,26.9789,9.9237,7.3052,9.9071,10.7973,28.6422,4.5811,16.4654,20.2276,66.8449,20.1238,11.2867,7.558,13.6292,30.9633,0,3.7688,38.3663,2.7174,12.1212,12.8402,0,3.6541,3.3898,8.6865,8.8656,92.7382,20.5488,58.8235,3.8168,2.8412,28.6037,16.7484,36.871,24.6943,0,29.5483,24.5712,36.1842,4.329,7.9444,27.409,133.9794,3.0043,23.399,51.5416,6.1511,0.8979,27.1895,26.1468,13.5894,8.1533,10.1814,0.7905,80.5106,19.6182,42.7652,16.7038,22.3694,4.3692,74.4401,7.6706,59.0425,29.8302,6.7898,0.8183,4.3745
KYNU,325.493,115.9236,160.5667,208.6787,133.4923,227.6822,70.3641,134.2248,176.9649,206.5997,97.2405,101.4851,66.416,98.9011,171.4286,145.518,75.8242,48.2315,399.4342,99.9913,59.5369,33.9912,78.3768,81.0211,54.2986,79.6074,64.0074,265.4555,121.2985,256.8659,412.0668,237.8893,34.0064,108.1871,68.9365,132.5167,1567.1982,24.6533,33.5708,28.6624,119.211,198.6515,27.6498,48.1727,162.7167,73.5867,1702.5425,94.8945,32.7065,40.1891,79.6137,48.5961,327.4262,317.2119,132.52,84.8288,75.2737,29.02,570.9838,55.7229,101.7668,186.3718,44.5394,131.4898,163.521,351.3545,70.5119,221.4651,160.5046,351.4004,173.0657,701.8681,50.3197,89.3356,24.4541,10.7588,33.8729,34.8788,117.1758,150.4975,78.231,90.5039,3.2362,89.0303,94.4976,7.1319,55.0832,178.9572,96.4553,32.8502,74.4417,77.6805,156.6651,52.9801,14.6788,78.0572,10.1833,56.3038,20.6107,83.6034,35.2941,49.0033,200.4956,83.9865,108.6718,108.7231,237.9679,170.2786,38.3747,49.6669,12.4935,68.8073,0,37.6884,168.3168,22.6449,109.0909,22.1786,17.2414,19.4884,16.9492,16.2872,15.3133,123.3786,49.001,241.2965,13.1467,50.7858,165.0985,22.0588,94.6687,106.3754,7.7551,220.4754,67.223,70.0658,34.151,22.8401,59.5289,100.2739,13.3047,65.8867,119.1901,6.5905,27.385,40.7842,315.1628,29.7672,51.7733,13.9994,9.4862,59.5647,54.6129,64.1477,5.5679,68.4849,0,77.7339,66.2091,75.9851,53.2354,95.4568,91.2439,16.8251
MAL,19.0308,6.3694,15.3483,52.6572,11.919,2.457,4.6909,2.0184,11.3693,10.043,3.9092,4.9505,11.2782,7.326,2.1978,22.1187,2.7473,12.8617,22.6308,10.4238,15.6676,8.7719,23.3012,1.1099,21.4932,6.5431,2.7829,2.0187,6.3841,21.0016,6.4185,14.7059,3.1881,5.848,9.0409,16.7038,10.9339,9.245,13.1364,8.4926,6.0034,10.3734,1.5361,10.3902,20.1715,1.462,0.5269,10.4952,6.1325,0,2.8265,2.6998,16.4557,14.936,2.5242,9.888,3.1934,4.0408,0,1.506,0,16.6968,3.1493,7.9007,3.4686,0.9382,2.8205,38.7564,12.7018,0,6.1495,17.9184,3.4944,58.0681,1.7467,3.3975,6.6536,0.8507,1.5023,7.0481,3.145,16.4553,8.0906,20.4028,25.1196,0,75.4159,8.1061,5.7956,6.2802,7.4442,9.8468,4.5809,4.415,6.6722,10.4076,6.11,16.422,5.3435,6.4935,1.2384,1.6611,7.4719,3.8176,9.8793,17.6991,16.0428,1.548,3.386,0,5.6788,27.5229,0,7.5377,3.7129,3.6232,0,4.6692,1.3263,12.1803,3.3898,4.3432,6.4477,4.4939,6.8496,60.6242,0.4241,4.972,164.5967,2.0425,1.4948,9.4978,0,3.0306,2.7816,9.5395,1.924,7.9444,4.7109,19.802,2.1459,0.6158,11.965,0.8787,0,5.3197,1.8676,0.3236,2.8536,0.3182,1.1858,7.2001,14.8462,17.9808,1.1136,5.8505,0.5461,9.8814,8.8817,40.0462,2.2946,14.7778,1.2275,3.0285
MEGF9,476.4272,398.7261,435.6553,470.5022,408.82,511.0565,442.3554,363.3153,238.26,552.8455,376.2572,529.703,483.7093,439.5604,327.4725,506.4028,480.2198,209.0032,411.8812,491.4631,316.4854,303.7281,386.588,483.9068,454.7511,478.735,447.1243,559.1723,625.6451,491.1147,598.2028,608.1315,298.6185,388.8889,774.1228,260.5791,373.5763,257.319,150.3386,409.7665,355.06,383.8174,306.7076,448.1949,325.4334,343.5673,489.0001,552.3122,450.5315,290.3073,789.0708,527.5378,575.5274,374.111,588.1363,740.0401,666.9708,567.1758,198.6301,176.2048,636.0424,627.7076,987.0656,528.2167,572.8189,532.4264,345.7904,723.1687,306.5753,359.057,420.8043,809.7598,333.3677,610.8319,391.2664,306.342,292.154,455.5508,340.01,618.5738,411.2039,561.193,114.8867,587.9707,714.1148,344.3709,388.1701,433.9869,359.3269,364.7343,196.0298,431.0722,340.3573,283.6645,216.178,303.5559,112.0163,574.7683,297.7099,414.7702,288.5449,381.2292,367.3678,539.0403,167.9473,417.1934,383.2442,428.7926,370.2032,542.0171,469.073,514.9083,25,292.7136,345.297,780.7971,357.5758,370.0321,145.8886,422.6553,220.339,247.5651,632.6818,281.483,417.8258,797.1188,380.8312,589.8961,543.9719,361.1111,252.6158,595.0374,194.6939,315.939,588.7807,268.0921,554.1126,115.1936,406.424,591.1102,293.133,402.7094,386.1022,450.3515,272.0539,221.0624,194.2337,210.6351,321.2393,277.1238,189.3281,388.8071,346.2354,354.7564,337.4165,352.0606,285.6363,490.7773,120.7105,431.7803,709.9587,200.8987,408.7561,344.2416
MMRN1,58.405,39.4904,18.8902,135.5436,116.8057,8.19,7.5055,1.5138,13.3465,43.0416,48.3759,37.1287,22.5564,32.967,23.0769,103.6088,1.0989,6.4309,72.4187,110.0291,6.267,35.0877,46.6024,9.9889,114.2534,3556.1614,43.5993,87.8123,23.4085,189.0145,84.724,53.6332,59.5112,14.6199,36.1634,26.7261,123.4624,0,4.3788,11.6773,79.7599,97.5104,6.1444,51.9509,18.1543,21.9298,19.4968,96.6437,7.359,2.3641,8.9507,55.6156,41.3502,8.5349,25.6626,58.2873,5.0182,8.0815,3.1133,0,36.7491,364.1697,30.1428,75.6208,17.8386,1231.3827,33.2816,335.1789,32.9092,14.1044,43.486,107.8917,9.7844,817.9788,0.8734,15.855,3.6292,5.1042,11.0165,227.1973,27.9115,13.7127,3.2362,186.8708,233.2536,20.377,253.6044,165.8628,54.2302,27.0531,57.072,41.5755,35.7306,91.6115,2.6689,101.4744,0,227.5613,35.1145,42.2075,69.969,32.392,44.8313,21.3784,62.5686,20.2276,67.7362,58.8235,63.2054,47.5075,21.5796,128.4404,0,17.5879,55.6931,52.5362,0,9.3383,0,3.6541,0,7.6007,21.761,74.354,31.0867,162.6651,5.0891,7.458,729.645,2.451,6.4773,87.8547,3.2653,10.2282,187.2972,5.5921,22.126,4.9652,95.9315,427.2172,27.897,6.7734,45.0989,5.2724,25.5892,13.5947,5.136,2.5885,0.8153,5.0907,5.1383,59.5647,15.3765,29.644,8.9087,161.7483,4.9153,62.5823,17.3597,548.325,9.1785,16.3754,6.1375,31.6312
MMRN2,544.6757,219.1083,266.8241,236.9576,141.8355,103.1941,50.6621,223.5398,204.6466,709.7083,144.1505,196.7822,201.7544,169.7192,140.6593,377.1828,146.7033,273.3119,278.3593,208.4761,313.3519,338.8158,169.4633,176.4706,319.0045,119.9564,188.3117,349.2304,61.7133,256.8659,332.4775,314.0138,239.1073,181.2865,287.047,271.7149,626.4237,191.0632,180.9902,216.5605,237.5643,259.8548,115.7194,328.2355,514.373,220.2729,135.4235,294.7414,150.0409,119.6217,160.6407,171.1663,408.4388,283.4282,229.7013,260.7314,149.1788,236.2008,188.6675,79.8193,207.0671,559.1155,214.599,397.2912,131.8078,238.771,279.7913,610.7325,464.7705,161.1928,390.4959,932.1388,233.4273,1841.9877,79.476,147.2254,79.2385,94.4279,177.7666,446.1028,293.2678,79.5338,218.4466,322.7347,395.933,176.2608,718.2994,1528.9309,432.5998,54.5894,263.0273,318.3807,136.0513,136.8653,184.1516,267.1292,144.6029,214.6584,183.2061,196.4274,188.8545,195.1827,315.0646,111.4729,219.539,79.646,295.0089,239.9381,159.1422,213.7836,207.8459,309.633,475,219.8492,402.2277,1324.2754,209.0909,158.7519,70.2918,110.8404,69.4915,218.2482,145.8795,341.5381,469.9882,1719.0876,70.3986,118.9736,766.2778,91.5033,178.8739,255.9658,71.0204,202.2919,480.2967,341.1184,191.4382,180.7349,219.2719,507.2677,254.5064,40.6404,351.1275,151.5817,268.4624,280.17,155.9472,82.5068,61.9649,96.0865,154.1502,528.8823,217.3913,166.6869,143.0958,390.2607,54.0688,206.8511,426.3222,747.5292,234.9702,249.2262,113.3388,239.253
MS4A1,103.029,19.1083,2.3613,117.5037,59.5948,40.131,87.2514,1.5138,13.8408,5.7389,7.3297,3.7129,30.0752,15.873,29.6703,68.6845,4.9451,0,38.4724,97.6749,14.1008,44.9561,74.1402,8.879,66.7421,78.5169,33.3952,28.2614,21.2804,132.4717,8.9859,19.8962,14.8778,175.4386,2.2602,83.5189,66.5148,3.0817,17.5152,7.431,11.1492,142.1162,0.512,27.3923,55.1354,6.3353,30.5625,228.7089,11.8561,0.9456,1.8843,9.1793,278.481,9.2461,5.4691,17.1739,0.4562,3.3061,11.208,0,0,60.0181,8.548,18.623,58.4711,2.3455,5.0769,967.632,349.877,0.806,21.0841,48.7991,10.4833,11.1669,1.7467,11.325,120.9748,19.5661,3.5053,47.2637,2.7518,1009.5989,3.2362,53.7891,43.0622,1.0188,1399.2606,9.3532,27.3221,53.6232,12.4069,14.2232,18.7815,4.415,6.6722,25.1518,2.0367,160.7005,12.2137,50.3244,56.9659,68.1063,9.9625,9.9257,30.7355,91.024,36.5419,35.6037,56.4334,0,37.4804,57.3394,25,15.0754,4.9505,9.058,9.0909,4.6692,0,2.4361,0,3.2574,35.4624,60.8722,15.2799,751.5006,2.5445,126.4317,2958.2236,0.817,6.4773,46.0643,0.8163,1.1365,4.6361,26.9737,17.316,17.8749,29.9786,152.9387,0.8584,1.8473,44.1786,4.833,0,8.8661,2.3345,0,2.8536,1.909,13.834,5.2365,68.3987,183.6958,5.5679,8.6036,0.5461,223.3202,2.0186,228.9822,48.1872,40.3395,10.2291,1.346
MYCT1,129.9347,66.242,49.5868,80.4486,46.4839,32.76,22.0474,56.0111,43.0054,126.7336,58.1488,29.703,25.0627,32.967,19.7802,69.8487,62.0879,9.6463,54.314,50.9608,23.5014,46.0526,25.4195,63.263,66.7421,34.8964,47.3098,125.1577,108.5303,135.7027,128.3697,99.481,52.0723,35.0877,67.8064,53.4521,134.8519,53.9291,11.6768,23.3546,21.4408,65.8714,28.1618,74.1482,74.6345,57.0175,66.9214,58.5984,43.7449,44.4444,35.8026,34.0173,92.4051,70.7681,57.6357,55.1647,27.8285,54.7339,75.3425,27.1084,42.4028,184.5668,55.7868,93.1151,34.6863,61.921,60.9223,140.971,85.4485,62.8652,103.6637,195.5776,46.8252,358.459,11.3537,40.7701,21.1706,23.3943,44.5669,122.7197,40.4914,17.4837,3.2362,117.7796,150.7177,56.5461,263.2163,415.9041,84.4501,19.3237,44.665,74.3982,65.0481,34.2163,10.6755,63.3131,18.3299,78.5908,32.8244,59.2529,47.678,48.1728,58.5298,22.9054,46.1032,24.0202,65.9537,65.0155,25.9594,79.8989,36.3446,59.633,0,56.5327,80.4455,262.6812,51.5152,32.6842,2.6525,8.5262,6.7797,34.746,33.0445,72.7198,90.0986,337.9352,35.6234,30.1873,170.6185,21.6503,58.7942,112.549,21.2245,31.4424,115.4381,85.5263,58.6821,13.9027,67.666,142.827,61.3734,43.7192,73.6309,31.1951,36.8126,91.0257,42.9555,29.7672,34.6514,27.0442,54.1502,100.8018,45.5992,47.6248,43.4298,64.6993,14.746,32.2793,111.8288,230.009,67.0032,70.2946,40.9165,49.8023
NCR1,1.9687,3.8217,9.4451,1.9503,3.5757,0,1.4073,2.523,4.9432,7.6518,0.9773,0,5.0125,3.663,14.2857,6.9849,1.6484,6.4309,10.1839,3.0885,3.1335,3.2895,9.5323,2.2198,2.2624,2.181,0.9276,2.0187,0,1.6155,1.2837,1.7301,3.1881,2.924,0,23.3853,3.6446,10.7858,1.4596,13.8004,0,5.1867,0,2.3614,3.3619,1.462,0.5269,2.1865,0.4088,0,1.8843,2.1598,5.0633,1.0669,4.6277,9.888,2.281,0.3673,0.6227,1.506,0,4.9639,0.8998,0,3.4686,1.8764,2.2564,36.6269,2.3094,0,3.9533,4.5749,1.3978,1.1167,0,1.1325,0,0.8507,1.5023,4.5605,8.2555,1.3713,0,2.3185,2.3923,0,2.5878,4.9884,2.4838,0,3.7221,0,2.2904,0,2.6689,0.8673,0,1.173,0,0.8117,0,0.8306,3.7359,0.7635,0,1.2642,1.7825,1.548,1.1287,0,0,9.1743,0,1.2563,0,0,0,1.1673,0,1.218,1.6949,0,0,1.6342,0,6.6026,0.4241,0.3551,5.52,0,0,0,0,0.3788,0,0.3289,0,1.9861,2.1413,0.8426,0,0.6158,0.4602,0,0,0,0,0.9707,0,0,0,1.3091,4.2418,2.9158,0,1.0324,0,3.2938,1.2111,0.5134,0,0.3994,0,0.3365
PALMD,182.4336,58.5987,42.503,91.175,35.7569,73.7101,22.5165,24.7256,39.5452,164.0363,32.2506,25.9901,234.3358,48.84,50.5495,48.8941,41.7582,16.0772,46.3932,50.5748,14.1008,450.6579,22.2421,57.7137,63.3484,40.349,49.1651,182.6899,97.89,111.4701,77.0218,181.6609,37.1945,32.1637,158.2149,38.9755,149.4305,35.4391,10.2172,21.2314,36.0206,99.0664,34.8182,109.097,155.3205,76.5107,51.1132,90.5215,17.9886,33.5697,31.0917,233.2613,99.1561,59.3883,58.4771,76.502,138.6861,45.9177,93.3998,9.0361,132.1555,245.9386,57.1364,101.0158,37.1639,43.157,50.7686,227.4276,107.9653,113.6409,90.0469,531.4525,43.3308,629.2574,11.3537,29.4451,17.5413,14.4619,40.0601,164.1791,59.3612,16.7981,8.0906,115.4611,165.0718,39.2257,275.4159,373.5031,105.5626,14.4928,23.5732,61.2691,54.5121,20.9713,12.0099,65.915,12.22,34.0169,28.2443,21.9155,36.5325,25.7475,32.3782,14.5068,47.2009,25.2845,71.3012,52.6316,50.7901,48.5872,53.3812,33.2569,0,21.3568,71.7822,187.5,27.2727,26.8478,9.2838,9.7442,8.4746,33.6602,28.2087,105.4029,363.5559,1428.5714,39.0161,26.6359,215.2804,20.8333,57.2995,95.9278,8.5714,43.1859,94.1122,73.0263,24.531,22.8401,56.1028,176.5325,88.412,28.3251,66.2678,22.4077,37.2615,47.2861,33.6174,25.8845,13.8606,20.3627,20.5534,163.6393,50.9014,49.5687,38.4187,68.1408,12.0153,59.2885,81.1465,273.6491,59.2015,59.5107,21.6858,50.1388
