HUGO_symbols,TCGA-AF-2687-01A-02R-1736-07,TCGA-AF-2690-01A-02R-1736-07,TCGA-AF-2691-01A-01R-0821-07,TCGA-AF-2692-01A-01R-0821-07,TCGA-AF-2693-01A-02R-1736-07,TCGA-AF-3400-01A-01R-0821-07,TCGA-AF-3913-01A-02R-1119-07,TCGA-AF-4110-01A-02R-1736-07,TCGA-AF-5654-01A-01R-1660-07,TCGA-AF-6136-01A-11R-1830-07,TCGA-AF-6655-01A-11R-1830-07,TCGA-AF-6672-01A-11R-1830-07,TCGA-AF-A56K-01A-32R-A39D-07,TCGA-AF-A56L-01A-31R-A39D-07,TCGA-AF-A56N-01A-12R-A39D-07,TCGA-AG-3574-01A-01R-0821-07,TCGA-AG-3575-01A-01R-0821-07,TCGA-AG-3578-01A-01R-0821-07,TCGA-AG-3580-01A-01R-0821-07,TCGA-AG-3581-01A-01R-0821-07,TCGA-AG-3582-01A-01R-0821-07,TCGA-AG-3584-01A-01R-0821-07,TCGA-AG-3587-01A-01R-0821-07,TCGA-AG-3591-01A-01R-1736-07,TCGA-AG-3593-01A-01R-0821-07,TCGA-AG-3594-01A-02R-0821-07,TCGA-AG-3598-01A-01R-0826-07,TCGA-AG-3599-01A-02R-0826-07,TCGA-AG-3600-01A-01R-0826-07,TCGA-AG-3602-01A-02R-0826-07,TCGA-AG-3605-01A-01R-0826-07,TCGA-AG-3609-01A-02R-0826-07,TCGA-AG-3611-01A-01R-0826-07,TCGA-AG-3612-01A-01R-0826-07,TCGA-AG-3725-01A-11R-1736-07,TCGA-AG-3726-01A-02R-0905-07,TCGA-AG-3727-01A-01R-0905-07,TCGA-AG-3728-01A-01R-0905-07,TCGA-AG-3732-01A-11R-1660-07,TCGA-AG-3742-01A-11R-1660-07,TCGA-AG-3878-01A-02R-0905-07,TCGA-AG-3881-01A-01R-0905-07,TCGA-AG-3882-01A-01R-0905-07,TCGA-AG-3883-01A-02R-0905-07,TCGA-AG-3885-01A-01R-0905-07,TCGA-AG-3887-01A-01R-1119-07,TCGA-AG-3890-01A-01R-1119-07,TCGA-AG-3892-01A-01R-1119-07,TCGA-AG-3893-01A-01R-1119-07,TCGA-AG-3894-01A-01R-1119-07,TCGA-AG-3896-01A-01R-1119-07,TCGA-AG-3898-01A-01R-1119-07,TCGA-AG-3901-01A-01R-1119-07,TCGA-AG-3902-01A-01R-A32Z-07,TCGA-AG-3909-01A-01R-1119-07,TCGA-AG-3999-01A-01R-1119-07,TCGA-AG-4005-01A-01R-1119-07,TCGA-AG-4008-01A-01R-1119-07,TCGA-AG-4015-01A-01R-1119-07,TCGA-AG-4021-01A-01R-1736-07,TCGA-AG-4022-01A-01R-1736-07,TCGA-AG-A002-01A-01R-A002-07,TCGA-AG-A008-01A-01R-A002-07,TCGA-AG-A00C-01A-01R-A002-07,TCGA-AG-A00H-01A-01R-A00A-07,TCGA-AG-A00Y-01A-02R-A002-07,TCGA-AG-A011-01A-01R-A002-07,TCGA-AG-A014-01A-02R-A002-07,TCGA-AG-A015-01A-01R-A002-07,TCGA-AG-A016-01A-01R-A002-07,TCGA-AG-A01J-01A-01R-A00A-07,TCGA-AG-A01L-01A-01R-A002-07,TCGA-AG-A01N-01A-01R-A00A-07,TCGA-AG-A01W-01A-21R-A083-07,TCGA-AG-A01Y-01A-41R-A083-07,TCGA-AG-A020-01A-21R-A083-07,TCGA-AG-A023-01A-01R-A00A-07,TCGA-AG-A025-01A-01R-A00A-07,TCGA-AG-A026-01A-01R-A00A-07,TCGA-AG-A02G-01A-01R-A00A-07,TCGA-AG-A02X-01A-01R-A00A-07,TCGA-AG-A032-01A-01R-A00A-07,TCGA-AG-A036-01A-12R-A083-07,TCGA-AH-6544-01A-11R-1830-07,TCGA-AH-6547-01A-11R-1830-07,TCGA-AH-6643-01A-11R-1830-07,TCGA-AH-6903-01A-11R-1928-07,TCGA-BM-6198-01A-11R-1736-07,TCGA-CI-6619-01B-11R-1830-07,TCGA-CI-6620-01A-11R-1830-07,TCGA-CI-6621-01A-11R-1830-07,TCGA-CI-6622-01A-11R-1830-07,TCGA-CI-6623-01B-11R-1830-07,TCGA-CI-6624-01C-11R-1830-07,TCGA-CL-4957-01A-01R-1736-07,TCGA-CL-5917-01A-11R-1660-07,TCGA-CL-5918-01A-11R-1660-07,TCGA-DC-4745-01A-01R-A32Z-07,TCGA-DC-4749-01A-01R-1736-07,TCGA-DC-5337-01A-01R-1660-07,TCGA-DC-5869-01A-01R-1660-07,TCGA-DC-6155-01A-11R-1660-07,TCGA-DC-6156-01A-11R-1660-07,TCGA-DC-6157-01A-11R-1660-07,TCGA-DC-6158-01A-11R-1660-07,TCGA-DC-6160-01A-11R-1660-07,TCGA-DC-6681-01A-11R-A32Z-07,TCGA-DC-6682-01A-11R-1830-07,TCGA-DC-6683-01A-11R-1830-07,TCGA-DT-5265-01A-21R-1830-07,TCGA-DY-A0XA-01A-11R-A155-07,TCGA-DY-A1DC-01A-31R-A155-07,TCGA-DY-A1DE-01A-11R-A155-07,TCGA-DY-A1DG-01A-11R-A32Y-07,TCGA-DY-A1H8-01A-21R-A155-07,TCGA-EF-5830-01A-01R-1660-07,TCGA-EF-5831-01A-01R-1660-07,TCGA-EI-6506-01A-11R-1736-07,TCGA-EI-6508-01A-11R-1736-07,TCGA-EI-6509-01A-11R-1736-07,TCGA-EI-6511-01A-11R-1736-07,TCGA-EI-6512-01A-11R-1736-07,TCGA-EI-6513-01A-21R-1736-07,TCGA-EI-6514-01A-11R-1736-07,TCGA-EI-6881-01A-11R-A32Z-07,TCGA-EI-6883-01A-31R-1928-07,TCGA-EI-6884-01A-11R-1928-07,TCGA-EI-6885-01A-11R-1928-07,TCGA-EI-6917-01A-11R-1928-07,TCGA-EI-7004-01A-11R-1928-07,TCGA-F5-6464-01A-11R-1736-07,TCGA-F5-6465-01A-11R-1736-07,TCGA-F5-6702-01A-11R-1830-07,TCGA-F5-6810-01A-11R-1830-07,TCGA-F5-6812-01A-11R-1830-07,TCGA-F5-6813-01A-11R-1830-07,TCGA-F5-6814-01A-31R-1928-07,TCGA-F5-6861-01A-11R-1928-07,TCGA-G5-6235-01A-11R-1736-07,TCGA-G5-6572-01A-11R-1830-07,TCGA-G5-6641-01A-11R-A32Z-07
FCGR3B,227.3308,307.7635,128.0215,38.1526,137.1849,2755.5993,100.35,153.606,3.8085,16.3317,91.1149,3.9221,80.2525,13.9623,19.4096,98.8424,367.4773,432.264,217.3469,142.6212,237.3887,85.8325,89.3513,22.1159,174.9482,1412.1406,153.6313,118.3352,235.8974,107.2902,147.6427,165.1481,107.5758,154.4554,8.0236,27.035,63.9626,125.2567,63.4921,57.1289,290.9303,427.1523,183.8384,242.915,153.8462,79.9492,56.1606,288.1753,205.3664,91.7006,84.1014,675.641,306.356,113.9953,83.7103,127.9513,137.7358,213.0966,80.8417,59.8736,56.1698,42.8746,27.3661,10.3617,30.2131,52.6932,49.2005,43.961,9.4675,16.9415,16.8176,22.5269,67.0611,57.4713,104.5267,16.1063,15.3509,27.7578,29.8786,22.7794,20.4978,25.0641,31.4916,3.8223,89.5669,182.6516,10.2576,133.4223,191.1497,99.8923,416.3444,26.2823,389.1243,76.0369,10.8903,22.8742,55.4412,54.2883,5.7471,19.6326,5.3063,13.7599,266.0616,5.997,108.9547,50.0329,9.3928,19.2097,1.03,18.6492,20.2224,0.4951,10.2954,2.4522,5.0729,1.5152,4.7421,71.2823,6.5473,1.3755,248.5519,118.1068,39.7042,31.6037,153.2148,7.5909,150.783,148.5768,129.2619,119.4805,174.9046,86.1057,18.5874,23.394,21.8449,3.495,28.4091,3.3124,1.3657,1.2116,3.7159
FCRL2,19.5828,70.3459,16.1146,10.0402,11.6845,2.9535,0,46.2067,2.1763,23.2412,0.5659,21.8518,6.7628,6.7925,0.8087,5.3428,0.9826,7.9234,11.2245,9.1592,4.451,13.4436,2.448,4.6289,13.4576,12.7796,11.1732,2.9099,8.2051,28.8858,9.9256,9.1116,10.6061,7.9208,5.0676,0,3.1201,20.5339,92.517,0,8.8931,4.9669,12.1212,2.0243,6.689,3.8071,45.4634,33.2952,2.064,4.3153,9.2166,2.5641,5.8689,17.1641,16.7421,3.0465,3.7736,6.6593,1.948,2.9751,15.0376,0,0,10.3617,2.1581,17.5644,29.5203,0,5.9172,0,0,4.8972,3.9448,13.1363,18.93,0.8053,27.4123,1.9143,0,3.7966,2.9283,13.6713,8.6873,7.6445,160.9252,0,3.3397,11.2075,4.0412,9.4016,2.3678,4.663,0,10.1382,2.9041,0,0.5489,0.9124,4.4209,15.7061,6.2711,0,1.433,2.4988,9.0796,7.8999,3.3814,1.6465,3.09,1.0081,9.6056,4.4556,1.961,0,1.2682,0.5051,9.4843,10.3009,3.2736,0,21.9063,0.4342,0.7785,1.3354,4.446,5.1938,23.2662,3.4407,10.4908,12.5541,5.4516,18.2648,4.5436,0.3713,28.9683,18.7855,4.2614,0.3312,15.0222,0,0.4129
FGFBP2,2.1286,17.1237,0.8953,5.0201,0.8655,2.9535,4.8361,2.4977,0,2.5126,1.6978,3.3618,1.3526,0.7547,1.2131,2.6714,1.9651,2.6411,2.0408,7.8507,0,2.0683,0,6.6862,4.1408,4.2599,9.7765,1.9399,1.0256,4.1265,2.4814,1.139,9.0909,0.9901,0.8446,2.3509,4.6802,4.1068,24.4898,0.9766,1.2704,13.245,0,2.0243,6.689,5.0761,0,8.0368,2.064,2.1577,6.9124,1.2821,7.0427,2.9147,2.2323,1.0155,3.7736,5.5494,0.974,2.6032,1.3268,0,2.4878,0,0,1.171,2.46,0,0,1.1294,1.2937,0,0,0,1.6461,3.2213,1.0965,2.8715,7.4697,1.8983,0,0,3.2578,0.9556,2.4606,2.2113,0.2385,8.539,4.4453,1.5669,1.1839,1.2717,0.3531,3.2258,1.452,0.9945,4.9403,1.3686,3.0946,3.3656,1.4472,0,4.299,0,0.908,1.58,1.5029,0.5488,1.03,5.0403,1.0111,0.4951,7.8441,1.4713,5.707,0.5051,1.8969,1.6481,0.7275,4.5851,6.7404,2.6053,1.1678,3.1159,1.368,0.799,9.8434,3.1279,2.9974,8.658,7.2688,2.6093,3.3044,4.456,11.3974,3.0581,1.7756,0.3312,0.9104,2.0194,2.4773
FLT3LG,71.0941,168.46,60.8774,52.2088,43.276,91.558,73.7512,141.1177,9.2492,34.5477,43.0108,53.2287,68.9811,63.7736,48.5241,50.7569,192.5817,49.301,37.7551,60.1887,57.8635,129.2658,97.9192,40.6316,83.8509,104.3663,57.2626,109.6055,57.4359,111.4168,125.3102,104.7836,72.7273,71.2871,43.4966,139.8766,148.2059,336.7556,83.9002,34.1797,475.1439,314.5695,450.5051,431.1741,239.1304,95.1777,132.3786,83.812,83.5913,52.8627,94.47,42.3077,119.7253,197.2248,44.6455,49.7588,46.2264,57.7137,123.6976,41.6512,55.2853,2.3175,48.5126,127.3013,74.4537,65.5738,30.7503,58.2483,17.7515,36.1419,32.3415,39.1773,64.1026,41.0509,53.4979,34.6285,71.2719,42.1153,83.0999,77.8295,17.5695,112.7884,34.7494,24.3669,96.9488,17.6902,56.7748,95.5304,75.9749,36.0396,56.0388,19.0759,31.4266,64.5161,80.9511,24.366,49.403,56.5693,54.3767,60.0196,28.4612,119.711,79.293,62.4688,60.833,37.393,92.8012,51.5917,29.87,127.0161,80.3839,52.9721,59.8113,52.9671,109.702,35.3535,37.9372,57.2731,30.9176,16.0477,90.1527,49.5007,36.2009,108.61,32.8317,65.9209,58.613,68.8145,61.0716,134.1991,93.5853,68.9591,90.4585,73.8953,117.7728,57.2302,39.7727,37.0984,25.9474,52.1002,30.1404
FPR3,879.9489,1306.4908,271.2623,149.5984,268.3112,1462.9584,136.6211,346.342,45.1578,128.1407,282.3995,69.4775,307.9351,140.3774,121.3101,157.6135,529.5996,277.318,209.1837,268.2324,295.2522,265.7704,198.2864,225.7882,311.5942,435.5698,311.4525,255.0996,381.5385,206.3274,81.8859,392.9385,134.8485,358.4158,84.8818,110.4907,65.5226,273.1006,129.7052,149.4141,304.9052,410.596,254.5455,263.1579,91.9732,112.9442,191.2135,239.9548,329.2054,339.8315,239.6313,232.0513,698.3978,480.2698,208.7176,110.688,259.434,284.1287,180.1894,634.4366,400.2654,55.6211,47.2687,22.2037,138.1171,101.8735,92.2509,41.7629,74.5562,24.8475,67.2704,136.141,140.0394,146.1412,386.8313,51.5402,66.886,332.1369,75.6303,36.0673,45.388,61.5209,166.1454,9.0779,754.4291,123.8316,104.2462,310.0734,219.8424,161.7863,513.031,71.6405,80.8616,448.8479,73.6909,116.8573,26.8972,158.7591,70.7339,82.4569,154.3657,33.0237,1419.1545,135.932,790.3757,185.9118,221.2953,118.0022,217.3297,398.1855,115.7731,165.3523,277.485,29.4262,15.8529,103.5354,307.291,272.3561,174.9574,134.342,526.1717,283.9774,269.3655,236.3603,92.6813,126.648,274.2729,587.1129,1312.1019,929.4372,1083.0456,1288.2304,453.9447,119.9406,308.6786,148.9734,361.5057,76.1842,19.1192,119.5477,10.322
GNLY,104.2997,146.2455,358.9973,18.0723,15.5794,372.1388,12.0904,49.5369,18.4984,19.4724,42.4448,28.5754,87.0153,9.434,12.131,26.7142,126.7502,77.473,146.9388,43.1789,32.6409,86.8666,48.9596,31.3738,62.1118,237.4867,353.352,216.3012,114.8718,122.4209,40.9429,37.5854,36.3636,50.495,35.8953,43.491,35.8814,207.3922,31.746,65.918,194.377,86.0927,109.0909,101.2146,35.1171,220.8122,208.5966,251.4359,50.5676,30.2072,14.977,139.7436,76.2956,140.2271,45.7616,11.1703,20.7547,71.0322,103.2437,8.1815,55.2853,18.5404,106.9765,102.1371,4.3162,87.822,20.9102,6.5941,8.284,13.5532,59.5084,25.4652,27.6134,87.8489,88.8889,78.9209,41.6667,41.1582,28.0112,30.3725,67.3499,47.8496,70.5847,7.6445,119.5866,12.8254,8.8263,219.3462,50.9194,16.0611,98.2652,20.7715,39.1949,36.8664,19.6025,2.4863,119.1162,37.4088,24.3148,74.6038,19.2957,214.6543,18.1514,3.4983,82.624,59.5128,16.1557,15.9166,9.785,85.1815,20.7279,32.1793,56.8697,27.9549,93.215,308.0808,47.8957,87.7638,57.4704,6.8776,196.3138,95.5276,34.6438,51.1891,36.9357,174.5905,59.9553,75.3832,254.0277,28.1385,19.5348,38.0207,21.4787,34.9053,51.763,27.9598,226.9176,20.2054,32.7757,2.0194,5.7803
GREM1,8087.6969,4562.7676,2482.3814,1857.3896,1682.1378,9920.5907,1751.8332,3550.4215,735.5822,1248.7437,6125.6367,671.2425,4669.5221,2201.1321,2128.9931,841.496,8868.4549,733.3345,474.3878,2052.8549,1226.9733,1491.0134,559.339,529.7536,105.5901,499.4462,691.3408,941.3368,913.8256,2031.5956,601.7246,2367.8132,549.9697,2120.703,801.5203,100.8404,202.4649,1404.4969,2000.4535,2449.2188,1613.3167,3001.9868,840.202,2577.753,232.4415,550.7614,1037.407,1043.1488,2412.7451,742.0409,1610.5184,2193.5256,7140.0082,2887.7721,1096.0464,1445.9711,1623.5566,5923.2963,696.2908,3068.7988,6851.8355,111.2421,2.4878,636.5066,2832.4144,107.5644,1281.6728,1057.2949,459.1716,115.1344,283.3118,341.7336,983.0079,294.7455,1443.5967,98.2484,2187.5,838.1527,1842.1382,404.5331,87.7745,484.1698,882.8512,1404.6823,8496.063,1841.9953,961.8321,1934.0894,1150.9396,3190.285,1006.33,800.3391,346.7514,4639.6313,1242.581,2254.1024,306.8478,1292.8832,1030.9461,811.1064,2823.9267,350.8772,5619.7755,1397.8011,7098.8537,85.3193,6069.6516,588.3644,2310.2871,1660.7863,556.1152,1764.9126,1114.8425,96.1256,29.1693,757.0707,3669.4724,184.5923,2154.0498,489.2251,900.2633,453.3218,677.3063,3050.8731,437.4145,453.0563,2561.9687,2859.8686,3041.5886,35188.3117,9478.9206,7795.3592,16112.7633,4492.3877,10060.5485,1637.3962,1196.3778,1367.3402,180.2663,782.3102,341.8662
HAL,33.6313,4.1652,11.6383,8.0321,2.5966,72.8526,0,3.3302,4.3526,5.6533,2.2637,5.0427,8.5663,6.0377,2.8306,0.8905,1.9651,19.3682,13.2653,3.9254,4.451,3.1024,4.896,4.6289,2.0704,20.2343,2.7933,8.7296,6.1538,6.8776,6.2035,1.139,12.1212,3.9604,1.2669,1.1754,14.0406,4.1068,6.3492,2.4414,5.0818,6.6225,12.1212,6.0729,36.7893,7.6142,4.0115,14.9254,37.1517,3.2365,5.7604,16.6667,2.3476,6.477,94.8716,5.0774,6.6038,4.4395,4.87,2.2313,17.6913,5.7939,1.2439,4.4407,1.079,16.3934,0,8.7922,4.7337,3.3883,0,13.712,10.8481,2.4631,8.2305,4.8319,3.2895,22.972,3.7348,0.9491,2.9283,4.5571,6.5155,0,3.937,5.3071,1.9084,8.0053,21.0143,17.628,6.7089,0.4239,5.6497,3.2258,3.2671,8.9508,3.8425,0.4562,20.7781,2.8047,1.9296,0,8.1204,1.999,2.2699,5.7933,8.6414,2.1954,1.545,5.5444,1.0111,1.4852,1.4708,64.7376,1.2682,0.5051,0.4742,5.3565,1.4549,0.4585,0,2.1711,1.1678,4.0061,6.8399,1.9976,4.0268,3.4407,4.4961,2.5974,2.7258,5.2185,0,2.9707,1.8996,0.8737,2.1307,5.9622,3.6417,15.7512,3.7159
HECW2,249.8936,150.8735,56.4011,36.1446,123.7693,347.5265,58.0337,74.9298,64.7443,53.392,125.6367,75.0805,313.3454,58.8679,75.2123,66.7854,57.971,359.1929,59.1837,49.7211,65.2819,66.1841,58.7515,70.4624,84.8861,117.1459,30.7263,22.3091,27.6923,23.3838,9.9256,72.8929,15.1515,60.396,36.3176,75.2277,31.2012,43.1211,52.6077,95.7031,50.8175,115.894,26.2626,56.6802,23.4114,64.7208,62.8464,39.0357,49.5356,33.4437,78.341,91.0256,105.64,23.3172,34.6002,22.3407,50.9434,87.6804,43.8299,215.3217,72.092,115.8772,99.513,16.2827,47.4777,46.8384,47.9705,45.06,11.8343,18.0709,12.9366,39.1773,45.3649,85.3859,101.2346,66.0358,126.0965,56.4728,50.4202,21.8302,40.9956,37.5961,100.9904,9.0779,78.7402,132.6767,52.2424,67.7785,143.8674,199.0011,195.7411,66.1297,56.1441,118.894,92.2044,74.5898,35.1311,70.7117,23.4306,48.801,87.3131,28.8958,470.5039,110.4448,150.7207,98.4858,33.0628,54.8847,38.11,37.8024,67.2394,41.0905,79.9118,34.3306,25.3646,33.8384,104.8014,58.9212,98.209,108.6657,137.3354,68.1719,102.7637,51.6343,51.9836,29.5645,68.0089,205.5052,101.9108,626.4069,164.0015,149.4735,158.1991,152.2466,64.1102,55.4827,91.9744,49.3541,27.7683,130.4523,28.9017
HHIP,24.6914,48.5942,53.7153,77.3092,35.4863,0.9845,55.6157,83.2553,10.3373,80.402,96.2083,36.4197,36.0685,23.0189,50.1415,26.7142,2.9477,23.7701,18.3673,49.7211,35.6083,29.9897,3.672,46.8035,156.3147,6.3898,6.9832,15.5194,18.4615,27.5103,2.4814,38.7244,12.1212,4.9505,8.0236,4.7017,51.4821,39.0144,66.2132,38.0859,33.0314,4.9669,30.303,10.1215,25.0836,12.6904,30.7546,6.8887,48.5036,74.4393,51.8433,14.1026,103.2924,19.7549,33.4841,30.4646,18.8679,53.2741,15.5839,40.5355,128.2618,0,3.7317,1.4802,30.2131,3.5129,0,17.5844,9.4675,7.906,12.9366,24.4858,46.3511,2.4631,13.9918,4.8319,53.7281,13.4003,7.4697,7.5931,11.713,26.2034,20.6324,20.0669,139.2717,0.8845,9.3034,43.7625,42.8369,15.6694,21.7052,21.1954,5.6497,88.4793,14.8834,54.2019,18.1145,18.2482,3.9788,1.1219,34.2499,23.3918,129.4483,6.9965,106.2308,30.5464,66.5013,8.2327,67.4649,29.7379,51.567,24.7533,12.7467,0.4904,0,19.697,20.3912,172.2312,45.1034,52.2696,319.326,15.6318,2.3355,24.0366,15.3899,16.7799,75.1678,15.9525,44.2113,36.7965,46.7927,112.5711,306.4849,69.068,40.8406,13.1062,1.4205,8.6121,9.5596,180.1292,34.6821
ICOS,51.5113,121.2542,51.0295,45.1807,31.1587,86.6355,6.0452,34.5509,15.2339,11.9347,32.824,25.7739,47.3399,17.7358,23.0489,6.2333,111.0292,20.2486,44.898,20.9352,19.2878,22.7508,26.9278,12.3438,43.4783,56.443,36.3128,33.9486,23.5897,50.8941,13.6476,44.4191,13.6364,35.6436,18.1588,8.228,3.1201,22.5873,91.61,17.5781,8.8931,8.2781,20.202,18.2186,5.0167,24.1117,48.1377,96.4411,13.4159,11.8671,13.8249,50,59.8627,77.724,12.2775,7.1084,9.434,12.2087,10.714,8.9253,76.5148,3.4763,9.9513,20.7235,8.6323,36.2998,17.2202,5.4951,2.3669,0,14.2303,3.9177,8.8757,28.7356,55.144,6.4425,32.8947,19.1433,2.8011,17.0845,7.3206,14.8106,40.179,0.9556,82.185,4.8648,7.8721,41.6278,40.0081,23.1123,42.621,10.5977,14.8305,64.5161,14.1574,5.9672,7.136,26.9161,21.6622,22.4372,33.7675,1.376,30.5708,24.9875,77.6302,30.5464,9.3928,20.3074,21.115,8.0645,7.5834,17.8224,31.8667,7.847,6.9753,6.5657,18.9686,30.9027,12.7308,2.751,68.2464,30.8294,20.2413,9.3476,25.9918,11.9856,24.1611,72.568,61.4462,27.2727,55.4243,53.6763,42.5444,14.8533,33.7172,24.9017,26.2784,13.9119,14.1118,0.8078,2.4773
KCNJ15,134.0996,86.0812,17.9051,12.0482,14.7138,441.0534,18.1355,41.6276,0.5441,5.6533,53.1975,3.9221,38.3228,9.8113,16.9834,5.3428,735.9371,51.9421,31.6327,20.9352,8.9021,11.3754,8.5679,6.6862,22.7743,76.6773,16.7598,7.7597,20.5128,6.8776,14.8883,17.0843,6.0606,20.7921,1.2669,7.0526,12.4805,2.0534,7.2562,24.4141,26.6792,51.3245,30.303,36.4372,11.7057,10.1523,2.6743,44.7762,17.5439,6.473,10.3687,46.1538,149.0698,11.9825,2.2323,15.2323,18.8679,46.6149,4.87,67.3113,33.6134,108.9246,3.7317,1.4802,11.8694,2.3419,17.2202,6.5941,0,1.1294,0,2.9383,8.8757,5.7471,13.9918,3.2213,4.386,6.7002,4.6685,1.8983,1.4641,4.5571,15.2028,0.9556,45.7677,44.2256,3.5782,58.1721,25.0556,17.2363,40.2532,5.5108,43.0791,10.5991,3.9931,12.4316,4.3914,12.3175,3.9788,10.6577,9.6479,6.8799,90.7571,6.9965,93.0655,8.4266,16.5314,1.0977,11.33,63.5081,16.1779,8.9112,2.9415,4.4139,1.9023,2.5253,10.4327,14.0092,1.8187,23.8423,53.9231,17.8029,19.0736,8.4573,25.9918,12.3851,11.6331,96.9659,122.1431,116.0173,41.7954,42.4937,103.2631,15.9673,23.2696,10.0481,11.3636,10.2683,0,76.7367,60.2808
KDR,525.7556,660.4188,188.0036,237.9518,518.4464,1080.9746,131.785,541.5756,278.5637,584.1709,614.601,293.5985,903.0658,280.7547,443.1864,338.3793,158.1921,264.1124,311.2245,257.7648,330.8605,339.1934,288.8617,231.4458,585.9213,307.7742,196.9274,128.0348,187.6923,221.458,152.6055,345.1025,106.0606,405.9406,258.0236,186.8939,135.7254,215.6057,470.7483,680.1758,196.9179,220.1987,183.8384,196.3563,172.2408,289.3401,331.6151,154.9947,207.4303,171.534,441.2442,461.5385,401.432,202.7302,209.8337,129.9822,260.3774,625.9711,183.1114,577.91,348.0761,657.0238,313.466,81.4136,212.5708,208.4309,252.1525,245.0826,153.8462,232.6632,131.9534,197.8452,245.5621,270.1149,208.2305,114.3547,728.0702,440.2967,138.1886,128.1339,137.6281,251.7801,306.2288,50.645,513.7795,616.0623,213.979,248.6991,1095.1707,902.9478,948.7127,243.7474,482.6977,774.1935,701.3341,313.7742,238.7814,452.5547,137.4889,188.4729,523.396,68.7994,1204.2035,529.2354,885.2571,575.6419,432.822,328.7596,219.3897,238.4073,266.9353,292.0893,399.0685,151.0544,131.896,202.0202,421.5768,621.7629,447.7601,303.072,717.009,420.3213,483.4566,398.8302,356.7031,210.5473,613.8702,641.8517,467.5909,2584.4156,819.0987,724.2568,764.5601,873.0041,328.624,435.9983,516.6903,269.2945,225.3329,485.0565,81.3377
KIR2DL1,1.7965,1.3421,0.8953,0,0,4.2727,0,0.4163,0,0,0,0,0,0,0,1.5227,0,0,0,0,0,0,0,0,1.0352,4.6645,0,0,0,0,0,0,0,1.6139,0.4223,0,0,0,0.4535,0,0,0,0,0,0,0,0,3.4443,1.032,0,0,0,1.1738,0.4081,0,0,0,0,0.974,0,0,0,2.4878,0,0,0,0,0,0,0,0,0,0,1.642,0,0,0,2.5652,0,0,0,2.2786,0,0,0,0,0,1.2435,0,0,0,0.8478,0,0,0,0,0.5489,0,0,0,0,0,0.9553,0,0.908,0,0,0,0,0,0,0.9901,0,0,0,0,0.9484,0,0.5129,0,0.6909,0,0,0.5965,0,1.5981,1.3423,0,1.716,0.6753,0.4543,0.7455,0,0.3713,0,0,5.6605,0,0,0,0.4129
KIR2DL3,1.1835,1.4347,2.6858,1.004,0.4328,1.6343,0,2.4977,0,0,0,0,3.156,0,0.4044,0.2582,1.9651,1.7607,0,0,0,0,0,0,0,5.9851,0,3.8798,1.0256,0,0,0,0,2.3465,0,0,0,2.0534,0.4535,0,1.2704,1.6556,4.0404,0,0,0,0,5.7405,0,0,1.1521,2.5641,2.3476,2.1828,1.1161,0,0,0,0,0,0.4423,0,1.2439,0,0,0,0,0,0,0,1.2937,1.9589,0,0,0,2.4159,0,1.2635,0,0,0,0,0,0,0.4921,0,0,2.4923,0,1.1752,0,0,0.7062,0,0,0,1.0978,0,0,0,0,0,0,0,0,0.5267,0.3757,0.5488,0,0,0,0.9901,0.4903,0.4904,0,3.0303,0.4742,0,0.9421,0,1.4155,0.8684,0,1.184,0,2.3971,0.4474,0,2.7801,1.0563,0,0,0.8261,0.7427,0.4749,1.3106,4.6378,0,0,0,0
KIR2DL4,8.5143,4.628,14.3241,2.008,1.2983,19.6899,0,4.1628,0,1.8844,2.8297,0.5603,12.1731,1.1321,0,1.7809,4.9128,1.7607,4.0816,7.8507,0,3.1024,0,0.5143,4.1408,83.0671,5.5866,30.0688,3.0769,0,0,0,0,0,0.4223,1.1754,3.1201,4.1068,8.1633,1.9531,6.3522,9.9338,4.0404,6.0729,3.3445,0,10.6973,12.6292,9.2879,2.1577,4.6083,3.8462,2.3476,65.4177,4.4645,0,2.8302,1.1099,3.896,0,5.3074,2.3175,6.2196,10.3617,1.079,3.5129,3.69,0,0,0,0,1.9589,2.9586,4.1051,6.5844,0,0,3.8287,1.8674,1.8983,0,2.2786,0,0,4.4291,0.4423,0.7156,5.8706,0.8082,0.3917,5.5249,3.8152,2.4718,7.8341,1.089,0,4.9403,1.3686,0,0.5609,0.9648,0,0.4777,1.4993,9.0796,0,0.3757,4.9396,1.03,3.0242,0.5056,1.9803,4.9026,0,0,9.596,2.3711,10.3009,1.4549,0,5.8978,3.0395,1.557,0.8902,0,4.3947,1.3423,0.3128,4.4961,0.8658,0.4543,0.3728,0.8261,1.4853,3.3242,1.7475,19.5312,7.2872,8.6491,0,1.2386
